#This is a data from a paper “Brain size evolution in pipefishes and seahorses: the role of feeding ecology, life history and sexual selection” by Tsuboi, Masahito, Lim, Adam Chee Ooi, Ooi, Boon Leong, Yip, Mei Yee, Chong, Ving Ching, Ahnesjö, Ingrid, Kolm, Niclas. In case the data presented below will be used, please do cite this paper. 

First, the data for brain mass and body length for 339 individuals across 23 species are presented. Then, head shape of 23 species as described with 12 homologous landmarks are presented in NTS format. Finally, a nexus format description of molecular-morphological phylogeny (see paper for details) is provided. Uses needs to separate these three parts of this file with appropriate file extensions (.txt, .NTS and .nex) to repeat the analyses presented in the paper. Questions will be answered by Masahito Tsuboi (masa.tsuboi@gmail.com).

#1: Species Data

Species	Sex	Length (mm)	Brain weight (mg)	Preservative	Sampled location	Sample code
Corythoichthys haematopterus	m	123.4	4.41	Formalin	Japan	
Corythoichthys haematopterus	m	114.9	4.10	Formalin	Japan	
Corythoichthys haematopterus	m	134.3	5.04	Formalin	Japan	
Corythoichthys haematopterus	m	131.8	5.71	Formalin	Japan	
Corythoichthys haematopterus	m	135.3	5.08	Formalin	Japan	
Corythoichthys haematopterus	m	129.5	6.02	Formalin	Japan	
Corythoichthys haematopterus	m	130.5	4.92	Formalin	Japan	
Corythoichthys haematopterus	m	133.1	5.52	Formalin	Japan	
Corythoichthys haematopterus	m	142.0	5.87	Formalin	Japan	
Corythoichthys haematopterus	m	133.7	5.43	Formalin	Japan	
Corythoichthys haematopterus	m	128.6	4.56	Formalin	Japan	
Corythoichthys haematopterus	m	118.0	5.02	Formalin	Japan	
Corythoichthys haematopterus	m	135.1	6.00	Formalin	Japan	
Corythoichthys haematopterus	m	121.3	4.57	Formalin	Japan	
Corythoichthys haematopterus	m	123.5	4.43	Formalin	Japan	
Corythoichthys haematopterus	m	127.5	4.82	Formalin	Japan	
Corythoichthys haematopterus	f	158.0	4.49	Formalin	Malaysia	
Corythoichthys intestinalis	f	98.0	2.10	Ethanol	Micronesia	NMST P22913-2
Corythoichthys intestinalis	f	98.0	2.20	Ethanol	Micronesia	NMST P22913-3
Corythoichthys intestinalis	f	99.5	2.50	Ethanol	Micronesia	NMST P22913-4
Corythoichthys intestinalis	f	99.0	2.10	Ethanol	Micronesia	NMST P22913-5
Corythoichthys intestinalis	f	87.0	2.30	Ethanol	Micronesia	NMST P22913-6
Corythoichthys intestinalis	f	109.0	2.60	Ethanol	Marshall	NMST P47469-1
Corythoichthys intestinalis	f	100.5	2.70	Ethanol	Marshall	NMST P47469-5
Corythoichthys intestinalis	f	93.5	2.40	Ethanol	Marshall	NMST P47469-6
Corythoichthys intestinalis	m	105.0	2.90	Ethanol	Micronesia	NMST P22913-1
Corythoichthys intestinalis	m	99.0	2.70	Ethanol	Marshall	NMST P47469-2
Corythoichthys intestinalis	m	111.0	2.60	Ethanol	Marshall	NMST P47469-3
Corythoichthys intestinalis	m	101.0	2.60	Ethanol	Marshall	NMST P47469-4
Doriyichthys boaja	f	300.0	20.50	Formalin	Malaysia	
Doriyichthys boaja	f	289.0	20.20	Formalin	Malaysia	
Doriyichthys boaja	f	248.0	18.30	Formalin	Malaysia	
Doriyichthys boaja	f	229.0	11.50	Formalin	Malaysia	
Doriyichthys boaja	m	255.0	15.40	Formalin	Malaysia	
Doriyichthys boaja	m	275.0	16.00	Formalin	Malaysia	
Doriyichthys boaja	m	314.0	19.00	Formalin	Malaysia	
Doriyichthys martensi	f	115.0	2.47	Formalin	Malaysia	
Doriyichthys martensi	f	119.0	2.45	Formalin	Malaysia	
Doriyichthys martensi	f	114.0	3.82	Formalin	Malaysia	
Doriyichthys martensi	f	118.0	3.12	Formalin	Malaysia	
Doriyichthys martensi	m	119.0	2.80	Formalin	Malaysia	
Doriyichthys martensi	m	114.0	2.87	Formalin	Malaysia	
Doriyichthys martensi	m	119.0	2.93	Formalin	Malaysia	
Doriyichthys martensi	m	103.0	2.85	Formalin	Malaysia	
Doriyichthys martensi	m	107.0	2.22	Formalin	Malaysia	
Doryhampus dactyliophorus	f	166.0	9.17	Formalin	Malaysia	
Doryhampus dactyliophorus	f	110.0	4.69	Formalin	Malaysia	
Doryhampus dactyliophorus	f	136.0	5.03	Formalin	Malaysia	
Doryhampus dactyliophorus	f	186.0	8.63	Formalin	Malaysia	
Doryhampus dactyliophorus	f	183.0	7.08	Formalin	Malaysia	
Doryhampus dactyliophorus	f	120.0	6.17	Formalin	Malaysia	
Doryhampus dactyliophorus	f	142.0	10.33	Formalin	Malaysia	
Doryhampus dactyliophorus	f	124.0	7.03	Formalin	Malaysia	
Doryhampus dactyliophorus	f	136.0	7.90	Formalin	Malaysia	
Doryhampus dactyliophorus	f	121.0	6.22	Formalin	Malaysia	
Doryhampus dactyliophorus	m	105.0	4.90	Formalin	Malaysia	
Doryhampus dactyliophorus	m	91.0	3.71	Formalin	Malaysia	
Doryrhamphus japonicus	f	57.0	1.90	Ethanol	Tokushima (Japan)	NMST P59397
Doryrhamphus japonicus	f	55.0	2.60	Ethanol	Hahajima (Japan)	NMST P43626
Doryrhamphus japonicus	f	54.5	1.70	Ethanol	Ioujima (Japan)	NMST P106082
Doryrhamphus japonicus	f	72.0	3.20	Ethanol	Izu (Japan)	NMST P35776
Doryrhamphus japonicus	f	51.5	2.90	Ethanol	Izu (Japan)	NMST P34280
Doryrhamphus japonicus	f	73.0	3.40	Ethanol	Miyakejima (Japan)	NMST P46409
Doryrhamphus japonicus	m	63.0	1.90	Ethanol	Izu (Japan)	NMST P43625(1)
Entelurus aequoreus	f	321.7	10.70	Formalin	Sweden	
Entelurus aequoreus	f	314.1	10.40	Formalin	Sweden	
Entelurus aequoreus	f	340.8	9.60	Formalin	Sweden	
Entelurus aequoreus	f	312.5	10.70	Formalin	Sweden	
Entelurus aequoreus	f	320.3	9.20	Formalin	Sweden	
Entelurus aequoreus	f	333.7	10.50	Formalin	Sweden	
Entelurus aequoreus	f	323.6	10.10	Formalin	Sweden	
Entelurus aequoreus	m	247.4	8.50	Formalin	Sweden	
Entelurus aequoreus	m	270.4	7.80	Formalin	Sweden	
Entelurus aequoreus	m	261.6	8.40	Formalin	Sweden	
Entelurus aequoreus	m	236.8	7.30	Formalin	Sweden	
Entelurus aequoreus	m	222.5	6.10	Formalin	Sweden	
Entelurus aequoreus	m	261.9	7.50	Formalin	Sweden	
Entelurus aequoreus	m	242.9	7.20	Formalin	Sweden	
Hippichthys penicillus	m	114.0	4.51	Formalin	Malaysia	
Hippichthys penicillus	m	109.0	2.83	Formalin	Malaysia	
Hippocampus abdominalis	m	135.0	12.60	Formalin	Australia	
Hippocampus addominalis	f	184.5	15.80	Formalin	Australia	
Hippocampus addominalis	f	146.7	10.10	Formalin	Australia	
Hippocampus addominalis	f	156.6	20.20	Formalin	Australia	
Hippocampus addominalis	m	151.0	10.90	Formalin	Australia	
Hippocampus addominalis	m	165.0	27.10	Formalin	Australia	
Hippocampus addominalis	m	136.8	12.10	Formalin	Australia	
Hippocampus addominalis	m	156.1	14.60	Formalin	Australia	
Hippocampus comes	f	149.0	18.60	Formalin	Malaysia	
Hippocampus comes	m	146.0	14.06	Formalin	Malaysia	
Hippocampus hippocampus	f	98.0	9.20	Formalin	Australia	
Hippocampus hippocampus	f	107.0	10.50	Formalin	Australia	
Hippocampus kuda	f	167.0	15.30	Formalin	Malaysia	
Hippocampus kuda	f	165.0	15.50	Formalin	Malaysia	
Hippocampus kuda	f	171.0	17.60	Formalin	Malaysia	
Hippocampus kuda	f	176.0	16.70	Formalin	Malaysia	
Hippocampus kuda	f	147.0	14.00	Formalin	Malaysia	
Hippocampus kuda	m	162.0	12.60	Formalin	Malaysia	
Hippocampus kuda	m	145.0	13.30	Formalin	Malaysia	
Hippocampus kuda	m	156.0	14.80	Formalin	Malaysia	
Hippocampus kuda	m	140.0	11.90	Formalin	Malaysia	
Hippocampus spinosissimus	f	162.0	12.04	Ethanol	Malaysia	
Hippocampus spinosissimus	f	162.0	10.79	Ethanol	Malaysia	
Hippocampus spinosissimus	f	157.0	11.96	Ethanol	Malaysia	
Hippocampus spinosissimus	f	180.0	15.86	Ethanol	Malaysia	
Hippocampus spinosissimus	f	141.0	10.97	Ethanol	Malaysia	
Hippocampus spinosissimus	f	147.0	9.79	Ethanol	Malaysia	
Hippocampus spinosissimus	f	162.0	10.36	Ethanol	Malaysia	
Hippocampus spinosissimus	f	147.0	8.99	Ethanol	Malaysia	
Hippocampus spinosissimus	m	117.0	4.11	Ethanol	Malaysia	
Hippocampus spinosissimus	m	166.0	10.74	Ethanol	Malaysia	
Hippocampus spinosissimus	m	146.0	7.90	Ethanol	Malaysia	
Hippocampus spinosissimus	m	176.0	13.15	Ethanol	Malaysia	
Hippocampus spinosissimus	m	150.0	9.75	Ethanol	Malaysia	
Hippocampus spinosissimus	m	173.0	10.99	Ethanol	Malaysia	
Hippocampus spinosissimus	m	164.0	12.36	Ethanol	Malaysia	
Hippocampus spinosissimus	m	133.0	8.59	Ethanol	Malaysia	
Hippocampus trimaculatus	f	111.0	9.34	Formalin	Malaysia	
Hippocampus trimaculatus	f	132.0	10.80	Formalin	Malaysia	
Hippocampus trimaculatus	f	141.0	10.34	Ethanol	Malaysia	
Hippocampus trimaculatus	f	155.0	9.59	Ethanol	Malaysia	
Hippocampus trimaculatus	f	158.0	9.83	Ethanol	Malaysia	
Hippocampus trimaculatus	f	122.0	8.17	Ethanol	Malaysia	
Hippocampus trimaculatus	f	167.0	10.92	Ethanol	Malaysia	
Hippocampus trimaculatus	f	156.0	9.14	Ethanol	Malaysia	
Hippocampus trimaculatus	m	170.0	9.09	Ethanol	Malaysia	
Hippocampus trimaculatus	m	183.0	10.39	Ethanol	Malaysia	
Hippocampus trimaculatus	m	174.0	12.44	Ethanol	Malaysia	
Hippocampus trimaculatus	m	170.0	11.52	Ethanol	Malaysia	
Hippocampus trimaculatus	m	164.0	9.18	Ethanol	Malaysia	
Hippocampus trimaculatus	m	171.0	8.54	Ethanol	Malaysia	
Hippocampus trimaculatus	m	156.0	8.95	Ethanol	Malaysia	
Hippocampus trimaculatus	m	153.0	8.25	Ethanol	Malaysia	
Hippocampus trimaculatus	m	147.0	9.28	Ethanol	Malaysia	
Hippocampus trimaculatus	m	162.0	9.85	Ethanol	Malaysia	
Hippocampus trimaculatus	m	157.0	8.25	Ethanol	Malaysia	
Hippocampus trimaculatus	m	162.0	10.70	Ethanol	Malaysia	
Hippocampus trimaculatus	m	172.0	9.22	Ethanol	Malaysia	
Hippocampus trimaculatus	m	156.0	7.85	Ethanol	Malaysia	
Hippocampus trimaculatus	m	160.0	9.39	Ethanol	Malaysia	
Microphis brachyurus	f	159.0	7.20	Ethanol	Okinawa (Japan)	NMST P15893-1
Microphis brachyurus	f	175.0	10.90	Ethanol	Okinawa (Japan)	NMST P15927
Microphis brachyurus	f	163.0	8.40	Ethanol	Okinawa (Japan)	NMST P29162
Microphis brachyurus	f	179.0	8.30	Ethanol	Okinawa (Japan)	NMST P15893-2
Microphis brachyurus	m	151.0	6.40	Ethanol	Okinawa (Japan)	NMST P62539
Microphis brachyurus	m	187.0	10.50	Ethanol	Okinawa (Japan)	NMST P34828-1
Microphis brachyurus	m	179.0	6.70	Ethanol	Okinawa (Japan)	NMST P34828-2
Microphis brachyurus	m	167.0	8.70	Ethanol	Okinawa (Japan)	NMST P34828-3
Nerophis lumbriciformis	f	122.0	3.50	Formalin	Portugal	
Nerophis lumbriciformis	f	117.0	3.30	Formalin	Portugal	
Nerophis lumbriciformis	f	119.0	3.90	Formalin	Portugal	
Nerophis lumbriciformis	f	117.1	3.80	Formalin	Portugal	
Nerophis lumbriciformis	f	122.8	3.90	Formalin	Portugal	
Nerophis lumbriciformis	m	127.1	2.70	Formalin	Portugal	
Nerophis lumbriciformis	m	115.9	2.70	Formalin	Portugal	
Nerophis lumbriciformis	m	117.4	3.20	Formalin	Portugal	
Nerophis lumbriciformis	m	102.4	2.40	Formalin	Portugal	
Nerophis lumbriciformis	m	111.4	2.60	Formalin	Portugal	
Nerophis ophidion	f	251.0	4.90	Formalin	Sweden	
Nerophis ophidion	f	278.0	5.80	Formalin	Sweden	
Nerophis ophidion	f	250.0	5.30	Formalin	Sweden	
Nerophis ophidion	f	229.0	4.70	Formalin	Sweden	
Nerophis ophidion	f	277.0	5.20	Formalin	Sweden	
Nerophis ophidion	f	267.0	5.30	Formalin	Sweden	
Nerophis ophidion	f	254.0	5.20	Formalin	Sweden	
Nerophis ophidion	f	241.0	4.80	Formalin	Sweden	
Nerophis ophidion	f	250.0	5.40	Formalin	Sweden	
Nerophis ophidion	f	238.0	5.10	Formalin	Sweden	
Nerophis ophidion	m	154.0	3.20	Formalin	Sweden	
Nerophis ophidion	m	149.0	2.30	Formalin	Sweden	
Nerophis ophidion	m	171.0	2.80	Formalin	Sweden	
Nerophis ophidion	m	151.0	2.80	Formalin	Sweden	
Nerophis ophidion	m	200.0	4.10	Formalin	Sweden	
Nerophis ophidion	m	154.0	3.10	Formalin	Sweden	
Nerophis ophidion	m	156.0	2.50	Formalin	Sweden	
Nerophis ophidion	m	115.0	2.00	Formalin	Sweden	
Nerophis ophidion	m	160.0	2.60	Formalin	Sweden	
Nerophis ophidion	m	196.0	4.50	Formalin	Sweden	
Syngnathoides biaculeatus	f	173.0	17.50	Formalin	Malaysia	
Syngnathoides biaculeatus	f	180.0	26.80	Formalin	Malaysia	
Syngnathoides biaculeatus	f	182.0	13.81	Formalin	Malaysia	
Syngnathoides biaculeatus	f	147.0	13.51	Formalin	Malaysia	
Syngnathoides biaculeatus	f	184.0	23.52	Formalin	Malaysia	
Syngnathoides biaculeatus	f	185.0	13.66	Formalin	Malaysia	
Syngnathoides biaculeatus	m	191.0	19.40	Formalin	Malaysia	
Syngnathoides biaculeatus	m	223.0	24.98	Formalin	Malaysia	
Syngnathoides biaculeatus	m	186.0	17.92	Formalin	Malaysia	
Syngnathoides biaculeatus	m	156.0	25.08	Formalin	Malaysia	
Syngnathoides biaculeatus	m	191.0	26.99	Formalin	Malaysia	
Syngnathoides biaculeatus	m	194.0	22.56	Formalin	Malaysia	
Syngnathus abaster	f	88.5	3.30	Formalin	Sweden	
Syngnathus abaster	f	108.3	4.40	Formalin	Sweden	
Syngnathus abaster	f	98.1	4.20	Formalin	Sweden	
Syngnathus abaster	f	89.0	2.80	Formalin	Sweden	
Syngnathus abaster	f	104.5	3.60	Formalin	Sweden	
Syngnathus abaster	m	102.6	3.40	Formalin	Sweden	
Syngnathus abaster	m	83.9	2.60	Formalin	Sweden	
Syngnathus abaster	m	86.0	2.80	Formalin	Sweden	
Syngnathus abaster	m	81.5	2.80	Formalin	Sweden	
Syngnathus abaster	m	78.8	2.50	Formalin	Sweden	
Syngnathus acus	f	347.0	21.30	Formalin	Sweden	
Syngnathus acus	f	415.0	32.10	Formalin	Sweden	
Syngnathus acus	f	387.0	30.70	Formalin	Sweden	
Syngnathus acus	f	395.0	28.90	Formalin	Sweden	
Syngnathus acus	f	291.0	23.10	Formalin	Sweden	
Syngnathus acus	f	350.0	26.80	Formalin	Sweden	
Syngnathus acus	f	354.0	24.40	Formalin	Sweden	
Syngnathus acus	f	346.0	28.40	Formalin	Sweden	
Syngnathus acus	f	374.0	25.60	Formalin	Sweden	
Syngnathus acus	f	403.0	28.80	Formalin	Sweden	
Syngnathus schlegeli	m	214.0	6.46	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	230.0	9.27	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	214.0	8.19	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	223.0	8.07	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	200.0	7.99	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	209.0	8.30	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	216.0	7.87	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	217.0	7.97	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	236.0	9.19	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	218.0	9.06	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	234.0	8.95	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	205.0	7.59	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	227.0	8.79	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	207.0	7.74	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	217.0	8.92	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	209.0	8.15	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	228.0	8.68	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	236.0	9.62	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	210.0	9.02	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	216.0	8.88	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	229.0	7.99	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	229.0	8.41	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	200.0	7.98	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	224.0	8.98	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	252.0	9.48	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	238.0	8.49	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	214.0	8.17	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	238.0	8.22	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	218.0	8.20	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	200.0	7.53	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	219.0	9.49	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	226.0	8.88	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	227.0	8.51	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	238.0	9.28	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	223.0	10.12	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	210.0	8.62	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	212.0	7.87	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	243.0	9.52	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	216.0	7.45	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	m	223.0	9.95	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	221.0	7.70	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	220.0	9.29	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	204.0	8.83	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	223.0	8.53	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	219.0	8.16	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	238.0	9.73	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	239.0	9.48	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	216.0	7.78	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	234.0	8.55	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	223.0	9.53	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	211.0	8.69	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	239.0	9.41	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	237.0	8.75	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	236.0	9.73	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	230.0	8.86	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	185.0	6.37	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	212.0	9.24	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	225.0	9.50	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	232.0	8.15	Formalin	Otsuchi bay (Japan)	
Syngnathus schlegeli	f	233.0	9.57	Formalin	Otsuchi bay (Japan)	
Syngnathus typhle	f	190.0	9.30	Formalin	Sweden	
Syngnathus typhle	f	213.0	14.30	Formalin	Sweden	
Syngnathus typhle	f	248.0	16.80	Formalin	Sweden	
Syngnathus typhle	f	209.0	14.20	Formalin	Sweden	
Syngnathus typhle	f	171.0	10.30	Formalin	Sweden	
Syngnathus typhle	f	229.0	17.20	Formalin	Sweden	
Syngnathus typhle	f	193.0	10.90	Formalin	Sweden	
Syngnathus typhle	f	187.0	10.90	Formalin	Sweden	
Syngnathus typhle	f	179.0	8.80	Formalin	Sweden	
Syngnathus typhle	f	265.0	19.90	Formalin	Sweden	
Syngnathus typhle	m	186.0	10.20	Formalin	Sweden	
Syngnathus typhle	m	192.0	11.40	Formalin	Sweden	
Syngnathus typhle	m	227.0	15.30	Formalin	Sweden	
Syngnathus typhle	m	168.0	8.00	Formalin	Sweden	
Syngnathus typhle	m	238.0	15.30	Formalin	Sweden	
Syngnathus typhle	m	210.0	12.40	Formalin	Sweden	
Syngnathus typhle	m	204.0	11.30	Formalin	Sweden	
Syngnathus typhle	m	176.0	10.20	Formalin	Sweden	
Syngnathus typhle	m	166.0	9.40	Formalin	Sweden	
Syngnathus typhle	m	208.0	10.60	Formalin	Sweden	
Trachyhampus serratus	f	205.0	4.70	Ethanol	Taiwan	NMST P110970
Trachyhampus serratus	f	173.0	3.60	Ethanol	Taiwan	NMST P110971
Trachyhampus serratus	f	219.0	4.50	Ethanol	Taiwan	NMST P110969
Trachyhampus serratus	f	309.5	7.50	Ethanol	Surugawan (Japan)	NMST P31633
Trachyhampus serratus	f	237.0	3.70	Ethanol	Taiwan	NMST P19417
Trachyhampus serratus	m	215.0	2.80	Ethanol	Hyogo (Japan)	NMST P77153

#2 Head morphology data

1 23L 24 0 DIM=2
Chaematopterus Cintestinalis Dboaja Ddactyliophorus Djaponicus Dmartensi Eaequoreus Habdominalis Hcomes Hhippocampus Hkuda Hpenicillus Hspinosissimus Htrimaculatus Mbrachyurus Nlumbriciformis Nophidion Sabaster Sacus Sbiaculeatus 
Sschlegeli Styphle Tserratus 
 -0.356713 0.055463
 -0.359061 -0.013548
 -0.320082 -0.015427
 -0.317363 0.046903
 -0.072833 0.033570
 -0.037129 0.008992
 0.097619 0.089055
 0.065795 -0.065807
 0.313790 0.092904
 0.418269 0.049628
 0.392098 -0.160204
 0.175611 -0.121529
 -0.382964 0.059556
 -0.373565 -0.002160
 -0.309808 -0.018640
 -0.305129 0.033351
 -0.065628 0.031245
 -0.018654 0.010339
 0.095250 0.081007
 0.072186 -0.062982
 0.309607 0.095737
 0.421442 0.025539
 0.381294 -0.135632
 0.175969 -0.117359
 -0.399079 0.060754
 -0.409247 0.003816
 -0.339064 -0.033428
 -0.334117 0.039782
 -0.003901 0.020987
 0.038176 0.007981
 0.104791 0.044560
 0.098315 -0.029689
 0.291165 0.056851
 0.400911 0.012635
 0.360228 -0.111782
 0.191822 -0.072466
 -0.430114 0.053683
 -0.425211 0.016828
 -0.364955 -0.003877
 -0.362148 0.038679
 0.026231 0.011640
 0.072088 -0.006759
 0.151607 0.026101
 0.143158 -0.044941
 0.266882 0.040953
 0.355012 -0.003158
 0.344030 -0.063739
 0.223422 -0.065412
 -0.385422 0.074126
 -0.389746 0.004792
 -0.293387 -0.038372
 -0.289539 0.058469
 -0.061567 0.031493
 -0.044074 0.006075
 0.093440 0.057987
 0.074961 -0.068462
 0.273854 0.089907
 0.421736 0.025242
 0.408004 -0.127090
 0.191740 -0.114169
 -0.381167 0.065277
 -0.377381 0.011855
 -0.297091 -0.035873
 -0.290596 0.048730
 -0.073866 0.032913
 -0.035726 0.006933
 0.070440 0.068126
 0.054393 -0.062956
 0.292606 0.082948
 0.432148 0.016942
 0.404536 -0.119934
 0.201706 -0.114960
 -0.387754 0.078210
 -0.391502 0.010182
 -0.308220 -0.031039
 -0.298714 0.048773
 -0.056609 0.023327
